Iteration,Herbe,Arbres,Sauterelle,Souris,Serval,Suricate,Caracal,Guepard,Zebre,Pantherenoire,Topi,Gazelle,Lion,Gnou,Pangolin,Orycterope,Termite,Hyene,Phacochere,Fourmi,Girafe,Elephant,Vautour
61,1625894.63,1152303.50,612149.75,240097.09,15943.00,38271.70,11296.16,8930.07,183644.91,6377.20,81335.67,153037.44,9603.88,115230.36,6777.70,6378.62,8129.48,1200.49,2551.45,1138126.88,20333.92,9036.93,8930.07
62,1638901.75,1159217.38,616434.81,240817.39,15958.94,38424.79,11318.75,8965.79,184930.42,6383.58,81742.35,154108.70,9632.69,115921.74,6791.25,6404.13,8194.51,1204.09,2561.65,1147231.88,20435.59,9055.01,8965.79
63,1652013.00,1166172.63,620749.88,241539.84,15974.90,38578.49,11341.39,9001.65,186224.94,6389.96,82151.06,155187.47,9661.59,116617.27,6804.84,6429.75,8260.07,1207.70,2571.90,1156409.75,20537.77,9073.12,9001.65
64,1665229.13,1173169.63,625095.13,242264.47,15990.88,38732.80,11364.07,9037.66,187528.52,6396.35,82561.82,156273.78,9690.58,117316.98,6818.45,6455.47,8326.15,1211.32,2582.19,1165661.00,20640.46,9091.26,9037.66
65,1678551.00,1180208.63,629470.81,242991.27,16006.87,38887.73,11386.80,9073.81,188841.22,6402.75,82974.63,157367.70,9719.65,118020.88,6832.08,6481.29,8392.76,1214.96,2592.52,1174986.25,20743.66,9109.45,9073.81
66,1691979.38,1187289.88,633877.13,243720.23,16022.88,39043.28,11409.58,9110.10,190163.11,6409.15,83389.51,158469.28,9748.81,118729.00,6845.75,6507.21,8459.90,1218.60,2602.89,1184386.13,20847.38,9127.67,9110.10
67,1705515.25,1194413.63,638314.25,244451.39,16038.90,39199.45,11432.40,9146.54,191494.25,6415.56,83806.45,159578.56,9778.05,119441.38,6859.44,6533.24,8527.58,1222.26,2613.30,1193861.25,20951.61,9145.92,9146.54
68,1719159.38,1201580.13,642782.44,245184.75,16054.94,39356.25,11455.26,9183.13,192834.70,6421.97,84225.48,160695.61,9807.39,120158.02,6873.16,6559.38,8595.80,1225.92,2623.75,1203412.13,21056.37,9164.21,9183.13
69,1732912.63,1208789.63,647281.94,245920.30,16070.99,39513.68,11478.17,9219.86,194184.55,6428.40,84646.61,161820.48,9836.81,120878.97,6886.90,6585.61,8664.56,1229.60,2634.25,1213039.38,21161.65,9182.54,9219.86
70,1746775.88,1216042.38,651812.94,246658.06,16087.06,39671.73,11501.13,9256.74,195543.84,6434.82,85069.84,162953.23,9866.32,121604.24,6900.68,6611.96,8733.88,1233.29,2644.78,1222743.75,21267.46,9200.91,9256.74
71,1760750.13,1223338.63,656375.63,247398.03,16103.15,39830.42,11524.13,9293.77,196912.66,6441.26,85495.20,164093.91,9895.92,122333.87,6914.48,6638.40,8803.75,1236.99,2655.36,1232525.75,21373.80,9219.31,9293.77
72,1774836.13,1230678.63,660970.25,248140.22,16119.25,39989.74,11547.18,9330.94,198291.05,6447.70,85922.67,165242.56,9925.60,123067.87,6928.31,6664.96,8874.18,1240.70,2665.98,1242386.00,21480.67,9237.75,9330.94
73,1789034.88,1238062.75,665597.06,248884.64,16135.37,40149.70,11570.27,9368.27,199679.08,6454.15,86352.29,166399.27,9955.38,123806.27,6942.17,6691.62,8945.17,1244.42,2676.65,1252325.13,21588.07,9256.22,9368.27
74,1803347.13,1245491.13,670256.25,249631.30,16151.51,40310.29,11593.41,9405.74,201076.83,6460.60,86784.05,167564.06,9985.25,124549.11,6956.05,6718.38,9016.74,1248.16,2687.35,1262343.75,21696.01,9274.73,9405.74
75,1817773.88,1252964.13,674948.06,250380.19,16167.66,40471.54,11616.60,9443.36,202484.36,6467.06,87217.97,168737.02,10015.20,125296.41,6969.96,6745.26,9088.87,1251.90,2698.10,1272442.50,21804.49,9293.28,9443.36
76,1832316.13,1260481.88,679672.69,251131.33,16183.83,40633.42,11639.83,9481.14,203901.75,6473.53,87654.06,169918.17,10045.25,126048.19,6983.90,6772.24,9161.58,1255.66,2708.89,1282622.00,21913.52,9311.87,9481.14
77,1846974.63,1268044.75,684430.38,251884.72,16200.01,40795.96,11663.11,9519.06,205329.06,6480.00,88092.34,171107.59,10075.38,126804.48,6997.87,6799.33,9234.87,1259.42,2719.73,1292883.00,22023.08,9330.50,9519.06
